has_custom_cover_image,description_length,favourites_count,followers_count,friends_count,followers_to_friends_ratio,has_location,username_digit_count,username_length,statuses_count,is_verified,account_age_days,account_type
0,122,22,223,2,74.33333333333333,1,0,12,13820,0,1153,1
0,117,1110,888158,729,1216.654794520548,1,0,13,64042,0,3151,1
0,127,0,714,747,0.9545454545454546,1,0,11,1258100,0,3731,1
0,18,37283,179,801,0.2231920199501247,1,2,10,5610,0,2306,0
0,7,1612,25,0,25.0,0,0,12,2322,0,2863,1
0,7,6,16,0,16.0,0,0,9,137,0,3432,0
0,7,3,6,4,1.2,0,0,11,2847,0,3152,1
0,158,14171,460,505,0.9090909090909091,1,0,12,2412,0,4670,0
0,75,70,0,0,0.0,0,0,15,197,0,1445,0
0,7,505,42,90,0.46153846153846156,1,1,9,10124,0,3440,0
0,51,25,5,0,5.0,0,1,15,182,0,1155,1
0,60,16,1038871,242,4275.189300411523,0,0,13,7199,0,3505,0
0,7,2760,54,302,0.1782178217821782,1,0,12,3397,0,3496,1
0,52,76,33,801,0.04114713216957606,1,0,12,154,0,2838,1
0,134,773,880564,220,3984.452488687783,1,2,8,3991,1,2848,0
0,58,2037,6,32,0.18181818181818182,0,0,9,2924,0,1359,1
0,26,649,27,0,27.0,1,1,10,1386,0,1348,0
0,39,1080,117343,19119,6.1371861924686195,1,0,13,49800,0,3493,0
0,64,2534,217,310,0.6977491961414791,1,0,15,5199,0,3105,1
0,81,32751,133385,27616,4.829814969040808,1,0,8,27993,1,4129,0
0,17,594,60,168,0.35502958579881655,1,0,7,854,0,3995,0
0,7,1296,20,922,0.021668472372697724,1,0,12,1907,0,3802,1
0,20,2376,86,414,0.20722891566265061,0,0,13,3931,0,3555,1
0,60,2451,475,329,1.4393939393939394,1,0,12,22978,0,4073,1
0,160,8825,220,797,0.2756892230576441,1,0,9,1317,0,2878,0
0,101,741,13286,364,36.4,1,0,11,3670,0,4215,0
0,77,245,10,0,10.0,0,1,10,37,0,2402,1
0,159,181,640139,1395,458.5522922636103,1,4,9,43052,1,2998,0
0,132,1292,1480816,21186,69.89267003351111,1,0,13,1195696,0,3739,0
0,44,2241,11,0,11.0,1,0,14,3089,0,1379,1
0,16,4625,135,0,135.0,0,0,14,4765,0,2259,0
0,116,2230,101191,570,177.21716287215412,1,0,9,62859,1,3702,0
0,14,18317,729,663,1.0978915662650603,1,0,13,4007,0,2589,0
0,13,2345,298,0,298.0,0,0,8,10093,0,3263,1
0,129,337,189,151,1.243421052631579,1,0,12,323,0,1902,0
0,110,20321,3198,1375,2.324127906976744,1,0,12,5757,0,3842,0
0,7,2001,63,89,0.7,0,2,7,1909,0,2924,0
0,140,7944,130,124,1.04,1,0,14,5603,0,3356,0
0,7,2156,64,404,0.1580246913580247,0,4,13,2918,0,2212,1
0,85,3924,2530,1028,2.4586977648202137,1,0,15,13144,1,4205,0
0,9,15878,722,438,1.644646924829157,0,0,8,12724,0,2525,0
0,44,620,1570295,243,6435.63524590164,0,0,6,5320,1,3890,0
0,66,2100,15,0,15.0,0,0,10,2940,0,4845,1
0,159,6552,3107,935,3.3194444444444446,1,0,15,8459,1,2546,0
0,13,28265,1669,686,2.4294032023289667,1,0,11,36905,0,2494,0
0,64,34701,52336,1188,44.01682085786375,1,0,9,16157,0,3875,0
1,7,101,3,0,3.0,0,0,13,114,0,2274,1
0,59,3219,184,1424,0.12912280701754386,1,0,14,9091,0,1543,0
0,116,0,19,0,19.0,0,0,14,16523,0,1404,1
0,7,47970,25279,25679,0.9843847352024923,0,0,14,42306,0,1614,0
0,8,782,72,314,0.22857142857142856,0,0,13,186,0,1411,1
0,131,34962,225,880,0.25539160045402953,1,0,7,8606,0,1352,0
0,78,12710,82,207,0.3942307692307692,1,0,12,3468,0,1306,0
0,140,1519,3699,1981,1.8662966700302726,1,0,9,18482,0,3861,0
0,43,5456,141,2,47.0,0,0,12,6641,0,1554,1
0,93,2508,1317958,354,3712.557746478873,1,0,13,9395,1,3865,0
0,11,1332,11,31,0.34375,0,1,15,1332,0,1446,1
0,120,3132,289,1560,0.185137732222934,1,0,14,6727,0,3927,0
0,130,14,1273320,670,1897.645305514158,1,0,11,40656,1,4154,0
0,124,3783,856548,1537,556.923276983095,0,0,12,36587,0,4120,0
0,105,5831,1563,1912,0.8170412963930999,1,2,5,41857,0,4464,0
0,94,30377,105389,757,139.03562005277044,1,0,8,33458,1,4131,0
0,8,2429,102,0,102.0,1,0,9,4783,0,3422,1
